Alpha,Gamma,Epsilon,Epsilon_Decay,Episodes,Simulations,Avg_Score
0.1,0.9,1.0,0.99,50,3,-530.6666666666666
0.1,0.9,1.0,0.99,100,3,-488.0
0.1,0.9,1.0,0.99,250,3,-845.3333333333334
0.1,0.9,1.0,0.99,500,3,-939.3333333333334
0.1,0.9,1.0,0.99,750,3,-760.0
0.1,0.9,1.0,0.99,1000,3,-502.0
0.5,0.9,1.0,0.99,50,3,-503.3333333333333
0.5,0.9,1.0,0.99,100,3,-778.6666666666666
0.5,0.9,1.0,0.99,250,3,-598.6666666666666
0.5,0.9,1.0,0.99,500,3,-450.6666666666667
0.5,0.9,1.0,0.99,750,3,-684.0
0.5,0.9,1.0,0.99,1000,3,-496.0
