Episode,Current_Epsilon,Win|Lose,Score,Turns
1,0.999,Lose,-33,32
2,0.998001,Lose,-93,16
3,0.997002999,Lose,-17,8
4,0.996005996001,Lose,-37,10
5,0.995009990004999,Lose,-13,38
6,0.994014980014994,Lose,29,5
7,0.993020965034979,Lose,-100,7
8,0.9920279440699441,Lose,-100,7
9,0.9910359161258742,Lose,-25,8
10,0.9900448802097482,Lose,-25,7
11,0.9890548353295385,Lose,-88,10
12,0.988065780494209,Lose,-202,21
13,0.9870777147137147,Lose,-100,7
14,0.986090636999001,Lose,-96,6
15,0.9851045463620021,Lose,-96,6
16,0.98411944181564,Win,-636,54
17,0.9831353223738244,Lose,-100,7
18,0.9821521870514506,Lose,-1457,100
19,0.9811700348643991,Lose,-200,16
20,0.9801888648295347,Lose,-102,7
21,0.9792086759647052,Lose,-1853,92
22,0.9782294672887405,Lose,-25,7
23,0.9772512378214517,Lose,-112,8
24,0.9762739865836303,Lose,-21,6
25,0.9752977125970467,Lose,-92,8
26,0.9743224148844496,Lose,-88,10
27,0.9733480924695651,Lose,-100,7
28,0.9723747443770956,Lose,10,12
29,0.9714023696327185,Lose,-21,6
30,0.9704309672630859,Lose,-112,8
31,0.9694605362958227,Lose,-92,8
32,0.9684910757595269,Lose,-148,12
33,0.9675225846837673,Lose,-21,8
34,0.9665550620990835,Lose,-100,7
35,0.9655885070369844,Win,5,22
36,0.9646229185299474,Lose,-53,11
37,0.9636582956114175,Lose,-33,20
38,0.9626946373158061,Lose,-25,7
39,0.9617319426784903,Lose,-37,8
40,0.9607702107358118,Lose,-135,17
41,0.959809440525076,Lose,-116,13
42,0.9588496310845509,Lose,-125,16
43,0.9578907814534664,Lose,-49,12
44,0.9569328906720129,Lose,-102,7
45,0.9559759577813409,Lose,-112,8
46,0.9550199818235596,Lose,-17,8
47,0.9540649618417361,Lose,-108,8
48,0.9531108968798944,Lose,-96,6
49,0.9521577859830145,Lose,-39,9
50,0.9512056281970315,Lose,-55,15
51,0.9502544225688344,Lose,-37,8
52,0.9493041681462656,Lose,-37,8
53,0.9483548639781193,Lose,-172,14
54,0.9474065091141411,Lose,-21,6
55,0.946459102605027,Lose,-110,7
56,0.9455126435024219,Lose,-100,7
57,0.9445671308589195,Lose,-112,8
58,0.9436225637280606,Lose,-2387,100
59,0.9426789411643326,Lose,-25,7
60,0.9417362622231683,Win,-1,18
61,0.9407945259609451,Lose,-157,18
62,0.9398537314349842,Lose,-92,8
63,0.9389138777035492,Lose,-2513,100
64,0.9379749638258457,Lose,-112,8
65,0.9370369888620198,Lose,-100,7
66,0.9360999518731578,Lose,-128,10
67,0.9351638519212846,Lose,-104,8
68,0.9342286880693633,Lose,-96,6
69,0.933294459381294,Lose,-112,8
70,0.9323611649219127,Lose,-46,5
71,0.9314288037569908,Lose,18,11
72,0.9304973749532338,Lose,-96,6
73,0.9295668775782806,Lose,-125,16
74,0.9286373107007023,Lose,-29,14
75,0.9277086733900016,Lose,-39,11
76,0.9267809647166116,Lose,-210,17
77,0.925854183751895,Lose,-61,16
78,0.9249283295681431,Lose,-193,20
79,0.9240034012385749,Lose,-17,8
80,0.9230793978373364,Lose,-100,7
81,0.9221563184394991,Lose,-46,5
82,0.9212341621210596,Lose,-144,14
83,0.9203129279589385,Lose,-100,7
84,0.9193926150309796,Lose,-25,7
85,0.9184732224159486,Lose,-100,7
86,0.9175547491935327,Lose,-75,13
87,0.9166371944443392,Lose,-39,11
88,0.9157205572498949,Lose,-112,8
89,0.914804836692645,Lose,-17,8
90,0.9138900318559524,Lose,-100,7
91,0.9129761418240965,Lose,-100,7
92,0.9120631656822724,Lose,-57,11
93,0.9111511025165902,Lose,-154,13
94,0.9102399514140735,Lose,-92,8
95,0.9093297114626595,Lose,-51,22
96,0.9084203817511969,Lose,-100,7
97,0.9075119613694457,Lose,-88,10
98,0.9066044494080763,Lose,-104,8
99,0.9056978449586682,Lose,-25,7
100,0.9047921471137096,Lose,-112,8
101,0.9038873549665959,Lose,-100,7
102,0.9029834676116293,Lose,-92,8
103,0.9020804841440176,Lose,-60,17
104,0.9011784036598737,Lose,26,12
105,0.9002772252562138,Lose,-97,14
106,0.8993769480309576,Lose,-25,7
107,0.8984775710829266,Lose,-53,10
108,0.8975790935118436,Lose,-112,8
109,0.8966815144183318,Lose,-112,8
110,0.8957848329039134,Lose,-35,9
111,0.8948890480710096,Lose,38,8
112,0.8939941590229386,Lose,54,6
113,0.8931001648639156,Lose,-116,14
114,0.8922070646990518,Lose,-118,14
115,0.8913148576343527,Lose,-105,15
116,0.8904235427767183,Lose,-73,12
117,0.8895331192339416,Lose,-57,11
118,0.8886435861147077,Lose,-100,7
119,0.887754942528593,Lose,-1815,100
120,0.8868671875860644,Lose,-92,8
121,0.8859803203984784,Lose,-81,17
122,0.88509434007808,Win,-2666,100
123,0.8842092457380019,Lose,-90,25
124,0.8833250364922639,Lose,-110,7
125,0.8824417114557717,Lose,-1783,100
126,0.8815592697443159,Lose,-92,7
127,0.8806777104745716,Lose,-49,12
128,0.8797970327640969,Lose,-17,7
129,0.8789172357313328,Lose,-112,8
130,0.8780383184956015,Lose,-244,19
131,0.8771602801771059,Lose,-106,7
132,0.8762831198969288,Lose,-112,8
133,0.8754068367770318,Lose,-92,8
134,0.8745314299402548,Lose,-100,7
135,0.8736568985103146,Lose,-25,7
136,0.8727832416118043,Lose,-132,11
137,0.8719104583701925,Lose,-100,7
138,0.8710385479118223,Lose,27,7
139,0.8701675093639105,Lose,-29,8
140,0.8692973418545467,Lose,-114,22
141,0.8684280445126921,Lose,-100,7
142,0.8675596164681794,Win,-614,57
143,0.8666920568517111,Lose,-45,13
144,0.8658253647948594,Lose,-25,8
145,0.8649595394300645,Lose,-112,8
146,0.8640945798906344,Lose,-92,8
147,0.8632304853107438,Lose,-344,28
148,0.862367254825433,Lose,-88,20
149,0.8615048875706075,Lose,-37,8
150,0.8606433826830369,Lose,-100,7
151,0.8597827393003539,Lose,-25,7
152,0.8589229565610536,Lose,-25,7
153,0.8580640336044925,Lose,-363,37
154,0.857205969570888,Lose,-202,20
155,0.8563487636013172,Lose,-25,7
156,0.8554924148377159,Lose,-23,11
157,0.8546369224228781,Lose,-1898,100
158,0.8537822855004553,Lose,-100,7
159,0.8529285032149548,Lose,-17,8
160,0.8520755747117399,Lose,-49,12
161,0.8512234991370281,Lose,-132,11
162,0.8503722756378911,Win,-413,55
163,0.8495219033622532,Lose,-100,8
164,0.8486723814588909,Lose,-46,5
165,0.847823709077432,Lose,-93,19
166,0.8469758853683546,Lose,-110,11
167,0.8461289094829862,Lose,-317,36
168,0.8452827805735033,Win,-17,26
169,0.8444374977929298,Lose,52,10
170,0.8435930602951368,Lose,-17,8
171,0.8427494672348417,Lose,-96,6
172,0.8419067177676068,Lose,-2007,100
173,0.8410648110498392,Lose,-134,14
174,0.8402237462387894,Lose,-39,9
175,0.8393835224925505,Lose,-25,7
176,0.838544138970058,Lose,-25,7
177,0.8377055948310879,Lose,-46,5
178,0.8368678892362568,Lose,-79,15
179,0.8360310213470206,Lose,-104,8
180,0.8351949903256736,Lose,-25,7
181,0.8343597953353479,Lose,-161,19
182,0.8335254355400126,Lose,-37,8
183,0.8326919101044725,Lose,-23,11
184,0.831859218194368,Lose,-112,8
185,0.8310273589761736,Lose,-46,5
186,0.8301963316171974,Lose,-100,7
187,0.8293661352855802,Lose,50,7
188,0.8285367691502946,Lose,-57,11
189,0.8277082323811443,Win,-145,34
190,0.8268805241487632,Lose,50,7
191,0.8260536436246144,Lose,-100,7
192,0.8252275899809898,Lose,18,11
193,0.8244023623910088,Lose,-17,8
194,0.8235779600286178,Lose,50,7
195,0.8227543820685892,Lose,-67,20
196,0.8219316276865206,Lose,-100,7
197,0.8211096960588341,Lose,-108,8
198,0.8202885863627752,Lose,-72,12
199,0.8194682977764125,Lose,-57,11
200,0.818648829478636,Lose,-112,8
201,0.8178301806491574,Lose,-214,20
202,0.8170123504685082,Lose,-17,16
203,0.8161953381180397,Lose,-141,23
204,0.8153791427799216,Lose,-37,8
205,0.8145637636371417,Lose,-21,6
206,0.8137491998735046,Lose,-100,7
207,0.812935450673631,Lose,-84,24
208,0.8121225152229574,Lose,-1241,76
209,0.8113103927077344,Lose,-30,15
210,0.8104990823150267,Lose,-65,15
211,0.8096885832327116,Lose,-73,14
212,0.8088788946494789,Lose,-53,13
213,0.8080700157548294,Lose,-73,12
214,0.8072619457390746,Lose,-57,11
215,0.8064546837933355,Lose,-29,10
