Episode,Current_Epsilon,Score
10,0.9511101304657719,-24
20,0.9046104802746175,-98
30,0.8603841919146962,10
40,0.8183201210226743,-66
50,0.778312557068642,-34
60,0.7402609576967045,-26
70,0.7040696960536299,-82
80,0.6696478204705644,-92
90,0.6369088258938781,-24
100,0.6057704364907278,-44
110,0.5761543988830038,-86
120,0.547986285490042,-24
130,0.5211953074858876,-50
140,0.49571413690105054,-40
150,0.47147873742168567,-14
160,0.4484282034609769,-92
170,0.42650460709830135,-100
180,0.40565285250151817,-106
190,0.3858205374665315,-120
200,0.3669578217261671,-40
210,0.34901730169741024,16
220,0.33195389135223546,-54
230,0.3157247089126454,-20
240,0.30028896908517405,-32
250,0.285607880564032,-62
260,0.27164454854530906,-24
270,0.2583638820072446,-4
280,0.2457325055235537,-34
290,0.23371867538818816,-8
300,0.22229219984074702,-68
310,0.21142436319205632,14
320,0.2010878536592394,-82
330,0.1912566947289212,42
340,0.18190617987607657,-18
350,0.1730128104744653,-10
360,0.16455423674261854,-16
370,0.15650920157696743,-38
380,0.14885748713096328,-30
390,0.14157986400593744,-24
400,0.1346580429260134,-18
410,0.12807462877562611,-44
420,0.12181307688414106,6
430,0.11585765144771248,-40
440,0.11019338598389174,-16
450,0.10480604571960442,-50
460,0.1,26
470,0.1,-2
480,0.1,-8
490,0.1,36
500,0.1,-12
510,0.1,18
520,0.1,-50
530,0.1,36
540,0.1,-52
550,0.1,72
560,0.1,10
570,0.1,-34
580,0.1,-122
590,0.1,-14
600,0.1,26
610,0.1,-56
620,0.1,-24
630,0.1,-2
640,0.1,-10
650,0.1,4
660,0.1,4
670,0.1,52
680,0.1,36
690,0.1,-22
700,0.1,16
710,0.1,42
720,0.1,20
730,0.1,12
740,0.1,-20
750,0.1,36
760,0.1,56
770,0.1,24
780,0.1,-38
790,0.1,-48
800,0.1,6
810,0.1,-110
820,0.1,72
830,0.1,-42
840,0.1,50
850,0.1,38
860,0.1,-34
870,0.1,-30
880,0.1,-10
890,0.1,26
900,0.1,-32
910,0.1,-4
920,0.1,80
930,0.1,-54
940,0.1,18
950,0.1,-50
960,0.1,-12
970,0.1,-98
980,0.1,-20
990,0.1,10
1000,0.1,14
1010,0.1,54
1020,0.1,-26
1030,0.1,22
1040,0.1,-52
1050,0.1,26
1060,0.1,0
1070,0.1,52
1080,0.1,-20
1090,0.1,-12
1100,0.1,-10
1110,0.1,-98
1120,0.1,2
1130,0.1,20
1140,0.1,58
1150,0.1,-18
1160,0.1,24
1170,0.1,-16
1180,0.1,16
1190,0.1,12
1200,0.1,60
1210,0.1,-12
1220,0.1,-54
1230,0.1,-48
1240,0.1,-22
1250,0.1,28
1260,0.1,-26
1270,0.1,-44
1280,0.1,36
1290,0.1,-6
1300,0.1,42
1310,0.1,-42
1320,0.1,24
1330,0.1,-12
1340,0.1,-2
1350,0.1,-62
1360,0.1,10
1370,0.1,14
1380,0.1,-38
1390,0.1,2
1400,0.1,-28
1410,0.1,28
1420,0.1,-30
1430,0.1,-70
1440,0.1,-64
1450,0.1,-58
1460,0.1,-48
1470,0.1,18
1480,0.1,14
1490,0.1,-22
1500,0.1,52
1510,0.1,10
1520,0.1,-20
1530,0.1,18
1540,0.1,-22
1550,0.1,-12
1560,0.1,8
1570,0.1,-58
1580,0.1,-16
1590,0.1,60
1600,0.1,-22
1610,0.1,-52
1620,0.1,18
1630,0.1,32
1640,0.1,42
1650,0.1,-56
1660,0.1,20
1670,0.1,36
1680,0.1,-24
1690,0.1,6
1700,0.1,-20
1710,0.1,-20
1720,0.1,4
1730,0.1,-16
1740,0.1,-8
1750,0.1,-56
1760,0.1,14
1770,0.1,-70
1780,0.1,34
1790,0.1,-66
1800,0.1,56
1810,0.1,-34
1820,0.1,36
1830,0.1,-58
1840,0.1,-26
1850,0.1,-10
1860,0.1,-42
1870,0.1,10
1880,0.1,-28
1890,0.1,14
1900,0.1,-52
1910,0.1,26
1920,0.1,16
1930,0.1,-12
1940,0.1,-16
1950,0.1,-56
1960,0.1,60
1970,0.1,36
1980,0.1,26
1990,0.1,-18
